,DATE,CRIME_COUNT,Vehicular Theft,Mischief,Robbery,Theft From Vehicle,Breaking,Murder
0,2015-01-01,68,6,20,3,18,21,0
1,2015-01-02,80,9,16,3,29,23,0
2,2015-01-03,90,19,17,5,23,26,0
3,2015-01-04,51,7,13,1,11,19,0
4,2015-01-05,103,18,26,3,19,37,0
5,2015-01-06,85,20,18,3,15,29,0
6,2015-01-07,79,12,12,10,24,21,0
7,2015-01-08,98,12,30,5,23,28,0
8,2015-01-09,73,18,19,3,19,14,0
9,2015-01-10,69,8,20,4,22,15,0
10,2015-01-11,79,4,12,6,28,29,0
11,2015-01-12,103,17,20,5,27,34,0
12,2015-01-13,92,12,18,5,27,30,0
13,2015-01-14,82,14,16,2,30,20,0
14,2015-01-15,92,18,14,4,28,28,0
15,2015-01-16,97,15,19,8,31,24,0
16,2015-01-17,63,6,10,5,35,7,0
17,2015-01-18,76,10,16,5,29,16,0
18,2015-01-19,104,19,12,9,36,28,0
19,2015-01-20,104,22,18,4,30,30,0
20,2015-01-21,81,14,16,6,20,25,0
21,2015-01-22,109,20,12,11,31,35,0
22,2015-01-23,98,18,10,5,31,34,0
23,2015-01-24,82,14,18,7,24,19,0
24,2015-01-25,79,19,19,3,17,20,1
25,2015-01-26,87,10,15,4,32,26,0
26,2015-01-27,80,15,14,5,24,22,0
27,2015-01-28,96,15,14,8,33,26,0
28,2015-01-29,119,20,18,9,45,27,0
29,2015-01-30,87,13,16,8,23,27,0
30,2015-01-31,64,8,10,6,21,19,0
31,2015-02-01,66,11,13,4,16,22,0
32,2015-02-02,69,13,9,2,13,32,0
33,2015-02-03,91,13,22,6,19,31,0
34,2015-02-04,103,18,21,5,23,36,0
35,2015-02-05,94,13,21,10,23,27,0
36,2015-02-06,104,18,24,13,29,20,0
37,2015-02-07,103,16,20,4,39,24,0
38,2015-02-08,74,8,12,2,23,29,0
39,2015-02-09,91,16,15,8,26,26,0
40,2015-02-10,94,15,15,7,29,28,0
41,2015-02-11,106,19,21,4,23,37,2
42,2015-02-12,94,10,11,6,29,38,0
43,2015-02-13,101,15,16,4,32,34,0
44,2015-02-14,68,5,8,7,19,29,0
45,2015-02-15,64,9,5,2,28,20,0
46,2015-02-16,103,10,14,7,32,39,1
47,2015-02-17,107,24,14,3,32,34,0
48,2015-02-18,95,11,21,4,25,34,0
49,2015-02-19,76,14,9,3,20,30,0
50,2015-02-20,81,18,13,5,26,19,0
51,2015-02-21,92,7,8,8,28,41,0
52,2015-02-22,77,10,17,5,28,17,0
53,2015-02-23,76,13,21,5,23,14,0
54,2015-02-24,86,10,15,3,35,23,0
55,2015-02-25,82,15,22,4,22,18,1
56,2015-02-26,84,17,13,6,24,23,1
57,2015-02-27,79,9,14,4,22,30,0
58,2015-02-28,58,6,15,5,19,13,0
59,2015-03-01,67,9,13,7,20,18,0
60,2015-03-02,106,11,24,8,24,39,0
61,2015-03-03,77,12,17,9,14,25,0
62,2015-03-04,105,18,35,7,19,26,0
63,2015-03-05,83,14,18,9,24,18,0
64,2015-03-06,82,11,20,6,19,26,0
65,2015-03-07,85,9,18,4,31,23,0
66,2015-03-08,67,6,18,2,17,24,0
67,2015-03-09,97,17,27,6,22,25,0
68,2015-03-10,87,13,17,0,31,25,1
69,2015-03-11,101,13,24,6,23,35,0
70,2015-03-12,112,15,31,8,29,29,0
71,2015-03-13,92,13,25,4,26,24,0
72,2015-03-14,100,13,24,5,31,27,0
73,2015-03-15,87,13,22,7,17,28,0
74,2015-03-16,108,18,26,5,27,32,0
75,2015-03-17,120,15,26,14,28,37,0
76,2015-03-18,107,22,13,6,38,28,0
77,2015-03-19,79,10,18,7,16,28,0
78,2015-03-20,109,15,24,4,27,39,0
79,2015-03-21,91,12,30,2,19,28,0
80,2015-03-22,90,11,16,10,29,24,0
81,2015-03-23,100,16,26,6,27,25,0
82,2015-03-24,84,11,35,1,17,20,0
83,2015-03-25,101,15,29,6,35,16,0
84,2015-03-26,95,10,23,3,33,26,0
85,2015-03-27,88,13,26,6,22,21,0
86,2015-03-28,67,8,20,4,17,18,0
87,2015-03-29,86,10,22,8,30,16,0
88,2015-03-30,98,13,23,6,30,26,0
89,2015-03-31,96,23,24,7,23,19,0
90,2015-04-01,102,15,32,7,24,24,0
91,2015-04-02,80,17,22,5,19,17,0
92,2015-04-03,101,13,37,6,29,16,0
93,2015-04-04,58,8,18,7,14,11,0
94,2015-04-05,66,4,18,11,16,17,0
95,2015-04-06,100,11,30,12,27,20,0
96,2015-04-07,99,16,29,6,23,24,1
97,2015-04-08,102,17,31,8,30,16,0
98,2015-04-09,120,11,28,12,33,36,0
99,2015-04-10,87,9,25,6,30,17,0
100,2015-04-11,86,15,20,5,24,22,0
101,2015-04-12,87,5,27,4,21,30,0
102,2015-04-13,129,14,35,5,41,34,0
103,2015-04-14,106,13,33,1,27,32,0
104,2015-04-15,99,19,23,4,33,20,0
105,2015-04-16,85,13,23,6,27,16,0
106,2015-04-17,92,11,28,5,25,22,1
107,2015-04-18,97,8,27,7,25,30,0
108,2015-04-19,82,5,38,9,13,17,0
109,2015-04-20,116,11,31,6,31,37,0
110,2015-04-21,96,17,32,6,24,17,0
111,2015-04-22,80,11,19,5,15,30,0
112,2015-04-23,124,14,41,8,27,34,0
113,2015-04-24,83,10,26,5,22,20,0
114,2015-04-25,80,7,17,6,30,20,0
115,2015-04-26,95,6,19,4,36,30,0
116,2015-04-27,99,11,21,7,28,32,0
117,2015-04-28,97,11,22,5,31,28,0
118,2015-04-29,83,15,22,5,23,18,0
119,2015-04-30,101,19,25,7,26,24,0
120,2015-05-01,112,14,38,4,29,27,0
121,2015-05-02,73,7,24,5,19,18,0
122,2015-05-03,97,12,22,7,35,21,0
123,2015-05-04,101,11,36,2,27,25,0
124,2015-05-05,99,17,21,8,32,21,0
125,2015-05-06,100,16,23,11,35,15,0
126,2015-05-07,94,12,22,10,25,25,0
127,2015-05-08,106,8,33,9,38,18,0
128,2015-05-09,84,9,20,6,20,29,0
129,2015-05-10,73,5,21,3,20,24,0
130,2015-05-11,105,11,24,9,27,34,0
131,2015-05-12,114,14,32,2,36,30,0
132,2015-05-13,101,22,26,3,26,24,0
133,2015-05-14,120,21,25,9,40,25,0
134,2015-05-15,72,12,13,4,27,16,0
135,2015-05-16,90,10,38,4,17,21,0
136,2015-05-17,101,13,26,10,27,25,0
137,2015-05-18,76,11,17,6,19,23,0
138,2015-05-19,127,11,39,6,35,36,0
139,2015-05-20,114,19,30,7,28,30,0
140,2015-05-21,91,9,19,3,38,22,0
141,2015-05-22,122,15,25,9,36,36,1
142,2015-05-23,66,7,19,1,31,8,0
143,2015-05-24,90,8,31,5,30,16,0
144,2015-05-25,137,20,35,5,50,27,0
145,2015-05-26,130,15,31,7,42,35,0
146,2015-05-27,116,15,23,4,35,38,1
147,2015-05-28,110,11,25,6,39,29,0
148,2015-05-29,98,13,30,3,32,20,0
149,2015-05-30,80,8,19,4,26,22,1
150,2015-05-31,97,9,32,8,27,21,0
151,2015-06-01,116,18,37,4,28,29,0
152,2015-06-02,103,17,21,5,23,37,0
153,2015-06-03,96,13,25,2,29,27,0
154,2015-06-04,88,14,20,4,29,21,0
155,2015-06-05,100,15,33,1,28,23,0
156,2015-06-06,78,3,30,2,26,17,0
157,2015-06-07,81,10,21,2,22,26,0
158,2015-06-08,100,13,21,3,33,30,0
159,2015-06-09,105,18,25,2,32,28,0
160,2015-06-10,125,17,26,5,47,30,0
161,2015-06-11,98,13,17,8,38,22,0
162,2015-06-12,104,11,26,5,32,30,0
163,2015-06-13,100,9,29,2,36,24,0
164,2015-06-14,71,9,17,4,24,17,0
165,2015-06-15,120,6,17,6,51,40,0
166,2015-06-16,86,9,17,2,30,28,0
167,2015-06-17,123,21,31,7,40,24,0
168,2015-06-18,90,14,24,3,27,22,0
169,2015-06-19,82,11,27,2,20,22,0
170,2015-06-20,82,7,17,6,27,25,0
171,2015-06-21,95,8,20,3,32,32,0
172,2015-06-22,106,8,26,5,35,32,0
173,2015-06-23,100,11,33,7,23,26,0
174,2015-06-24,100,7,25,2,34,31,1
175,2015-06-25,119,11,27,7,37,37,0
176,2015-06-26,80,8,18,5,19,30,0
177,2015-06-27,85,5,28,6,33,13,0
178,2015-06-28,74,8,12,5,26,23,0
179,2015-06-29,100,6,34,5,33,22,0
180,2015-06-30,76,11,21,6,27,11,0
181,2015-07-01,90,7,28,2,31,22,0
182,2015-07-02,95,11,21,6,33,24,0
183,2015-07-03,82,7,19,5,26,25,0
184,2015-07-04,73,5,24,3,26,15,0
185,2015-07-05,89,11,26,4,20,27,1
186,2015-07-06,109,10,28,2,38,31,0
187,2015-07-07,101,11,35,4,28,22,1
188,2015-07-08,97,13,24,7,23,30,0
189,2015-07-09,82,12,18,4,25,23,0
190,2015-07-10,119,12,35,14,28,30,0
191,2015-07-11,110,13,22,10,32,33,0
192,2015-07-12,79,11,19,6,22,21,0
193,2015-07-13,100,10,25,2,43,20,0
194,2015-07-14,116,14,28,6,34,34,0
195,2015-07-15,97,19,16,5,25,32,0
196,2015-07-16,100,11,33,3,31,22,0
197,2015-07-17,97,7,21,8,37,24,0
198,2015-07-18,84,13,18,4,26,23,0
199,2015-07-19,89,11,15,6,30,27,0
200,2015-07-20,124,12,33,5,35,39,0
201,2015-07-21,102,14,26,9,28,25,0
202,2015-07-22,114,16,35,7,28,28,0
203,2015-07-23,92,12,23,4,29,24,0
204,2015-07-24,76,10,17,4,26,19,0
205,2015-07-25,72,6,16,4,21,25,0
206,2015-07-26,93,8,17,9,30,29,0
207,2015-07-27,84,6,24,5,18,31,0
208,2015-07-28,89,9,19,3,37,21,0
209,2015-07-29,105,15,20,5,26,39,0
210,2015-07-30,109,15,26,2,36,30,0
211,2015-07-31,93,15,29,3,27,19,0
212,2015-08-01,55,6,18,2,15,14,0
213,2015-08-02,72,9,19,4,20,19,1
214,2015-08-03,112,6,26,5,38,37,0
215,2015-08-04,107,14,26,6,29,32,0
216,2015-08-05,102,12,32,5,31,22,0
217,2015-08-06,103,16,22,7,35,23,0
218,2015-08-07,96,11,14,3,31,37,0
219,2015-08-08,93,9,18,10,33,23,0
220,2015-08-09,84,10,26,5,27,16,0
221,2015-08-10,112,14,32,6,25,35,0
222,2015-08-11,112,17,34,3,38,20,0
223,2015-08-12,74,11,19,4,21,19,0
224,2015-08-13,105,8,21,10,39,27,0
225,2015-08-14,97,8,17,9,34,29,0
226,2015-08-15,89,10,16,5,26,32,0
227,2015-08-16,81,5,23,6,30,17,0
228,2015-08-17,121,11,32,3,33,42,0
229,2015-08-18,116,17,28,6,32,33,0
230,2015-08-19,108,12,27,2,42,25,0
231,2015-08-20,136,17,30,6,60,23,0
232,2015-08-21,97,12,18,6,35,26,0
233,2015-08-22,89,8,20,7,25,28,1
234,2015-08-23,106,10,24,8,34,30,0
235,2015-08-24,119,10,32,4,38,35,0
236,2015-08-25,124,14,19,6,46,39,0
237,2015-08-26,116,14,19,5,44,34,0
238,2015-08-27,99,13,16,5,44,21,0
239,2015-08-28,93,12,20,8,27,26,0
240,2015-08-29,83,6,18,4,34,21,0
241,2015-08-30,96,2,21,5,46,22,0
242,2015-08-31,107,7,30,7,26,37,0
243,2015-09-01,100,11,31,8,25,25,0
244,2015-09-02,97,18,20,10,32,17,0
245,2015-09-03,92,13,21,7,31,19,1
246,2015-09-04,110,11,25,5,40,29,0
247,2015-09-05,81,11,20,6,29,15,0
248,2015-09-06,85,10,16,4,31,24,0
249,2015-09-07,99,14,23,6,24,32,0
250,2015-09-08,111,11,26,7,28,39,0
251,2015-09-09,116,15,21,6,45,29,0
252,2015-09-10,106,16,26,5,26,33,0
253,2015-09-11,99,13,15,5,38,28,0
254,2015-09-12,90,6,17,11,32,24,0
255,2015-09-13,96,11,26,6,30,23,0
256,2015-09-14,109,14,22,5,37,31,0
257,2015-09-15,109,8,23,5,41,32,0
258,2015-09-16,107,12,23,3,36,33,0
259,2015-09-17,110,16,28,3,39,24,0
260,2015-09-18,105,11,30,5,42,17,0
261,2015-09-19,102,11,23,6,35,27,0
262,2015-09-20,120,17,14,8,42,39,0
263,2015-09-21,110,9,22,5,38,36,0
264,2015-09-22,119,14,37,1,34,33,0
265,2015-09-23,114,16,27,10,41,20,0
266,2015-09-24,74,8,24,3,21,17,1
267,2015-09-25,95,10,22,7,37,19,0
268,2015-09-26,113,11,22,4,37,39,0
269,2015-09-27,81,10,15,7,30,18,1
270,2015-09-28,146,21,29,10,43,43,0
271,2015-09-29,101,8,24,4,35,30,0
272,2015-09-30,114,10,20,4,49,31,0
273,2015-10-01,109,10,34,3,41,21,0
274,2015-10-02,96,12,26,2,25,31,0
275,2015-10-03,98,13,22,5,36,22,0
276,2015-10-04,94,17,24,7,25,21,0
277,2015-10-05,117,10,32,5,43,27,0
278,2015-10-06,108,12,30,8,30,28,0
279,2015-10-07,107,23,23,6,28,27,0
280,2015-10-08,94,14,17,3,28,32,0
281,2015-10-09,102,15,21,8,25,33,0
282,2015-10-10,102,15,23,2,36,26,0
283,2015-10-11,99,7,26,7,33,26,0
284,2015-10-12,122,15,26,9,50,22,0
285,2015-10-13,148,8,36,7,51,46,0
286,2015-10-14,133,14,31,4,46,38,0
287,2015-10-15,116,15,22,3,38,38,0
288,2015-10-16,135,10,51,10,36,28,0
289,2015-10-17,114,8,28,8,34,36,0
290,2015-10-18,81,5,18,7,28,23,0
291,2015-10-19,115,12,21,11,34,37,0
292,2015-10-20,102,14,14,7,42,25,0
293,2015-10-21,132,14,21,5,52,39,1
294,2015-10-22,108,14,24,9,29,32,0
295,2015-10-23,108,15,30,5,35,23,0
296,2015-10-24,110,13,19,4,35,39,0
297,2015-10-25,96,10,23,4,22,37,0
298,2015-10-26,105,13,35,4,27,26,0
299,2015-10-27,106,8,25,5,36,32,0
300,2015-10-28,98,13,18,7,40,20,0
301,2015-10-29,75,11,15,4,22,22,1
302,2015-10-30,95,15,26,6,18,30,0
303,2015-10-31,91,13,30,11,19,18,0
